name,visitors,pageviews,bounce_rate,time_on_page
/timer.html,6393,10988,88,1061.0
/,4589,6662,44,78.0
/blog/public/posts/the-value-of-microbreaks/,131,338,15,180.0
/blog/public/posts/the-best-pomodoro-alternatives/,114,271,15,85.0
/blog/public/,106,281,28,28.0
/index.html,63,78,53,47.0
/map.html,7,16,60,148.0
/timer.hyml,4,8,,20.0
/external/downloads/1000008032,3,8,67,
/newLanding.html,3,4,0,44.0
/card.ong,1,1,0,678.0
/dev/,1,8,0,48.0
/dev/blog/public/,1,1,,7.0
/dev/blog/public/posts/the-value-of-microbreaks/,1,9,,54.0
/dev/github.oho,1,1,,420.0
/dev/timer.html,1,4,100,138.0
/map,1,1,,5.0
/microbreaks/,1,1,,43.0
/newLanding,1,2,,8.0
/posts/my-first-post/,1,1,,168.0
